kepid,asymmetry_index,v_u_kurtosis,ingress_slope,egress_slope,loc_rowid,kepoi_name,kepler_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2
7366258,0.1720153912281585,1.8781507620780529,-0.0034708086097206,0.0130255561944089,188,K00880.01,Kepler-82 b,CONFIRMED,0,0,0,26.44439337,3.65e-05,-3.65e-05,194.12074,0.00108,-0.00108,2455027.121,0.00108,-0.00108,0.03,0.355,-0.03,3.9783,0.0417,-0.0417,,,,1843.5,22.2,-22.2,88.0,5427.0,108.0,-108.0,0.929,0.104,-0.069
7366258,0.1720153912281585,1.8781507620780529,-0.0034708086097206,0.0130255561944089,188,K00880.01,Kepler-82 b,CONFIRMED,0,0,0,26.44439337,3.65e-05,-3.65e-05,194.12074,0.00108,-0.00108,2455027.121,0.00108,-0.00108,0.03,0.355,-0.03,3.9783,0.0417,-0.0417,,,,1843.5,22.2,-22.2,88.0,5427.0,108.0,-108.0,0.929,0.104,-0.069
7366258,0.1720153912281585,1.8781507620780529,-0.0034708086097206,0.0130255561944089,188,K00880.01,Kepler-82 b,CONFIRMED,0,0,0,26.44439337,3.65e-05,-3.65e-05,194.12074,0.00108,-0.00108,2455027.121,0.00108,-0.00108,0.03,0.355,-0.03,3.9783,0.0417,-0.0417,,,,1843.5,22.2,-22.2,88.0,5427.0,108.0,-108.0,0.929,0.104,-0.069
7366258,0.1720153912281585,1.8781507620780529,-0.0034708086097206,0.0130255561944089,188,K00880.01,Kepler-82 b,CONFIRMED,0,0,0,26.44439337,3.65e-05,-3.65e-05,194.12074,0.00108,-0.00108,2455027.121,0.00108,-0.00108,0.03,0.355,-0.03,3.9783,0.0417,-0.0417,,,,1843.5,22.2,-22.2,88.0,5427.0,108.0,-108.0,0.929,0.104,-0.069
7366258,0.1720153912281585,1.8781507620780529,-0.0034708086097206,0.0130255561944089,188,K00880.01,Kepler-82 b,CONFIRMED,0,0,0,26.44439337,3.65e-05,-3.65e-05,194.12074,0.00108,-0.00108,2455027.121,0.00108,-0.00108,0.03,0.355,-0.03,3.9783,0.0417,-0.0417,,,,1843.5,22.2,-22.2,88.0,5427.0,108.0,-108.0,0.929,0.104,-0.069
7366258,0.1720153912281585,1.8781507620780529,-0.0034708086097206,0.0130255561944089,188,K00880.01,Kepler-82 b,CONFIRMED,0,0,0,26.44439337,3.65e-05,-3.65e-05,194.12074,0.00108,-0.00108,2455027.121,0.00108,-0.00108,0.03,0.355,-0.03,3.9783,0.0417,-0.0417,,,,1843.5,22.2,-22.2,88.0,5427.0,108.0,-108.0,0.929,0.104,-0.069
7366258,0.1720153912281585,1.8781507620780529,-0.0034708086097206,0.0130255561944089,188,K00880.01,Kepler-82 b,CONFIRMED,0,0,0,26.44439337,3.65e-05,-3.65e-05,194.12074,0.00108,-0.00108,2455027.121,0.00108,-0.00108,0.03,0.355,-0.03,3.9783,0.0417,-0.0417,,,,1843.5,22.2,-22.2,88.0,5427.0,108.0,-108.0,0.929,0.104,-0.069
7366258,0.1720153912281585,1.8781507620780529,-0.0034708086097206,0.0130255561944089,188,K00880.01,Kepler-82 b,CONFIRMED,0,0,0,26.44439337,3.65e-05,-3.65e-05,194.12074,0.00108,-0.00108,2455027.121,0.00108,-0.00108,0.03,0.355,-0.03,3.9783,0.0417,-0.0417,,,,1843.5,22.2,-22.2,88.0,5427.0,108.0,-108.0,0.929,0.104,-0.069
7373451,0.1513578704487503,2.187652745816053,-0.0039457993513336,0.0132273175721436,192,K00881.01,Kepler-712 b,CONFIRMED,0,0,0,21.02250608,4.091e-05,-4.091e-05,207.67593,0.00148,-0.00148,2455040.676,0.00148,-0.00148,0.036,0.36,-0.036,4.1072,0.0538,-0.0538,,,,1772.5,32.1,-32.1,62.4,5067.0,102.0,-102.0,0.75,0.052,-0.033
7373451,0.1513578704487503,2.187652745816053,-0.0039457993513336,0.0132273175721436,192,K00881.01,Kepler-712 b,CONFIRMED,0,0,0,21.02250608,4.091e-05,-4.091e-05,207.67593,0.00148,-0.00148,2455040.676,0.00148,-0.00148,0.036,0.36,-0.036,4.1072,0.0538,-0.0538,,,,1772.5,32.1,-32.1,62.4,5067.0,102.0,-102.0,0.75,0.052,-0.033
